Date,Month,Day,Hour_Ending,Index,Value
2022-01-01 00:00:00,1,1,1,10101,0
2022-01-01 01:00:00,1,1,2,10102,0
2022-01-01 02:00:00,1,1,3,10103,0
2022-01-01 03:00:00,1,1,4,10104,0
2022-01-01 04:00:00,1,1,5,10105,0
2022-01-01 05:00:00,1,1,6,10106,0
2022-01-01 06:00:00,1,1,7,10107,0
2022-01-01 07:00:00,1,1,8,10108,0.033
2022-01-01 08:00:00,1,1,9,10109,0.933
2022-01-01 09:00:00,1,1,10,10110,2.472
2022-01-01 10:00:00,1,1,11,10111,3.882
2022-01-01 11:00:00,1,1,12,10112,4.728
2022-01-01 12:00:00,1,1,13,10113,4.722
2022-01-01 13:00:00,1,1,14,10114,3.837
2022-01-01 14:00:00,1,1,15,10115,2.316
2022-01-01 15:00:00,1,1,16,10116,0.639
2022-01-01 16:00:00,1,1,17,10117,0.003
2022-01-01 17:00:00,1,1,18,10118,0
2022-01-01 18:00:00,1,1,19,10119,0
2022-01-01 19:00:00,1,1,20,10120,0
2022-01-01 20:00:00,1,1,21,10121,0
2022-01-01 21:00:00,1,1,22,10122,0
2022-01-01 22:00:00,1,1,23,10123,0
2022-01-01 23:00:00,1,1,24,10124,0
2022-01-02 00:00:00,1,2,1,10201,0
2022-01-02 01:00:00,1,2,2,10202,0
2022-01-02 02:00:00,1,2,3,10203,0
2022-01-02 03:00:00,1,2,4,10204,0
2022-01-02 04:00:00,1,2,5,10205,0
2022-01-02 05:00:00,1,2,6,10206,0
2022-01-02 06:00:00,1,2,7,10207,0
2022-01-02 07:00:00,1,2,8,10208,0.033
2022-01-02 08:00:00,1,2,9,10209,0.933
2022-01-02 09:00:00,1,2,10,10210,2.472
2022-01-02 10:00:00,1,2,11,10211,3.882
2022-01-02 11:00:00,1,2,12,10212,4.728
2022-01-02 12:00:00,1,2,13,10213,4.722
2022-01-02 13:00:00,1,2,14,10214,3.837
2022-01-02 14:00:00,1,2,15,10215,2.316
2022-01-02 15:00:00,1,2,16,10216,0.639
2022-01-02 16:00:00,1,2,17,10217,0.003
2022-01-02 17:00:00,1,2,18,10218,0
2022-01-02 18:00:00,1,2,19,10219,0
2022-01-02 19:00:00,1,2,20,10220,0
2022-01-02 20:00:00,1,2,21,10221,0
2022-01-02 21:00:00,1,2,22,10222,0
2022-01-02 22:00:00,1,2,23,10223,0
2022-01-02 23:00:00,1,2,24,10224,0
2022-01-03 00:00:00,1,3,1,10301,0
2022-01-03 01:00:00,1,3,2,10302,0
2022-01-03 02:00:00,1,3,3,10303,0
2022-01-03 03:00:00,1,3,4,10304,0
2022-01-03 04:00:00,1,3,5,10305,0
2022-01-03 05:00:00,1,3,6,10306,0
2022-01-03 06:00:00,1,3,7,10307,0
2022-01-03 07:00:00,1,3,8,10308,0.033
2022-01-03 08:00:00,1,3,9,10309,0.933
2022-01-03 09:00:00,1,3,10,10310,2.472
2022-01-03 10:00:00,1,3,11,10311,3.882
