,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2021-12-01,190.87654569892473,191.7825940860215,182.2158870967742,177.69096774193548,178.07243279569894,202.76770161290324,199.7114112903226,186.75430107526884,194.8675,177.58322580645162,183.9306989247312,192.62147849462366,189.07486559139787,182.4148387096774,221.1861559139785,185.5548924731183,184.58790322580646,192.95603494623657,190.18211021505374,190.92581989247313,198.8313440860215,183.9611559139785,185.2420833333333,183.3475134408602,189.3264919354839,191.00569892473118,189.0826612903226,180.804126344086,176.6090322580645,184.98119623655916
Austria,2022-01-01,217.71841397849462,338.3314919354839,313.74010752688173,196.10293010752687,202.29076612903225,230.32642473118278,252.5084811827957,456.6927419354839,251.7663172043011,235.43787634408602,256.97744623655916,315.7717741935484,253.02349462365592,286.18291666666664,236.25493279569895,218.91396505376343,262.10245967741935,196.63380376344085,189.45596774193547,301.6115188172043,374.302620967742,267.31108870967745,195.98807795698926,336.96619623655914,216.40934139784946,275.99163978494624,294.83900537634406,409.83004032258066,199.06596774193548,288.92794354838713
Austria,2022-02-01,186.2422767857143,304.9274851190476,231.18438988095238,259.7554464285714,236.78866071428573,195.17874999999998,258.7636904761905,212.29650297619048,214.87965773809523,229.0978125,195.65665178571427,220.0873214285714,194.10177083333332,264.77038690476195,213.76257440476192,237.11965773809524,324.8833779761905,208.47892857142855,210.17543154761907,224.9918005952381,294.54049107142856,218.18413690476189,328.7479166666667,259.80660714285716,208.80412202380953,226.54416666666665,202.90013392857145,207.78261904761908,241.52293154761907,213.1799255952381
Austria,2022-03-01,145.89318304172275,174.21547779273217,162.51016150740242,174.08746298788694,144.21184387617765,152.39345895020188,183.55807537012112,167.80323687752355,159.05738896366083,175.92017496635262,159.909932705249,173.80775908479137,164.57384253028263,174.4250538358008,176.86374831763123,173.52907133243608,177.74462987886946,161.89129205921938,153.74953566621804,168.94683041722746,167.24244952893673,181.93869448183042,171.97609690444145,182.0276514131898,161.23529609690445,171.46836473755047,185.01944145356663,161.0528331090175,173.614199192463,146.71779273216688
Austria,2022-04-01,114.99133333333333,116.8342361111111,113.92875,116.99868055555557,115.50891666666666,107.18804166666666,124.63911111111112,106.77355555555556,118.91719444444445,115.23856944444445,120.5122638888889,117.49272222222221,117.03393055555554,108.89463888888889,119.89836111111111,118.33024999999999,117.50677777777778,112.80105555555555,124.00441666666666,116.51377777777778,117.34191666666666,112.15066666666667,114.00290277777778,117.98780555555555,112.89631944444446,111.8051111111111,116.18548611111112,117.76418055555557,103.855,112.4413611111111
Austria,2022-05-01,107.88850806451613,107.1059811827957,96.39975806451612,102.00293010752688,104.50861559139786,106.90310483870968,107.54364247311828,103.59350806451614,103.55284946236559,103.60192204301076,101.7225940860215,102.49770161290321,102.72012096774193,102.97361559139785,106.60248655913979,103.51791666666666,93.15913978494623,98.16905913978495,104.69573924731183,100.05625,110.63357526881721,100.18182795698925,101.69314516129032,106.33103494623656,103.3943682795699,99.39181451612903,100.61048387096774,107.30686827956988,100.06150537634407,104.95733870967742
Austria,2022-06-01,107.80429166666666,98.77701388888889,104.538125,103.22018055555556,95.14540277777778,105.71841666666666,103.727625,102.1779861111111,103.17247222222221,103.96281944444443,101.06923611111112,103.13679166666667,100.71523611111111,104.28475,98.25909722222222,104.35513888888889,106.33719444444445,103.34958333333333,103.831,101.00273611111112,102.96779166666667,103.26081944444444,100.02584722222223,99.34970833333333,106.84815277777777,102.79886111111111,105.81758333333333,98.86591666666668,102.73916666666666,102.70318055555555
Austria,2022-07-01,96.68135752688171,104.54186827956988,107.7891935483871,99.29915322580646,113.0455376344086,110.06368279569894,101.05875,110.05920698924731,100.03114247311828,106.74012096774193,106.91487903225806,105.91690860215053,103.83986559139785,108.56815860215055,105.78711021505376,106.5381317204301,112.48924731182795,95.80154569892474,103.25475806451612,102.65354838709678,108.16986559139785,101.15006720430107,103.38822580645162,108.72073924731183,107.5006182795699,102.36908602150538,103.55310483870967,106.99361559139786,112.39725806451612,107.15779569892473
