,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2021-12-01,206.6985538244395,213.36672518499617,197.68288718626155,198.08943915983943,194.8303884972359,223.52556131769697,216.53676233635446,199.29797251659485,204.59538975501113,197.68867253016978,202.2904992529239,209.2979367199137,206.32251237623763,198.75645440956652,223.2448113301972,206.97320959091388,200.8733092701384,207.88013040494164,212.1413864523796,207.5102306147919,217.33168293770754,203.4339068369647,209.48520967395967,205.67810127771514,206.81792068315173,207.5967194928685,210.39207480184942,203.11273254100774,193.62397771391116,201.28835860250496
Austria,2022-01-01,225.77983317175637,294.3896575121163,275.6490063285576,208.26709997569475,216.36481746476443,226.6797289984726,250.6572748804576,435.88214553102,236.10529755900748,245.6708697635836,257.6984350356344,291.63892117723515,250.54992955135333,274.56606382978725,230.8259069901791,228.57177993931083,258.9344485280188,208.6468260626398,208.4845522693199,263.79652353287867,316.6909882673463,263.7077631746301,218.72914132155654,316.2033450002431,221.24364672504032,274.07692366343736,257.1553195270845,374.33260509062865,217.7597952116289,259.21308800377835
Austria,2022-02-01,200.0107498313528,264.547670075018,226.3422956905052,233.12710488910344,230.01205833401542,207.19318311119633,237.9636107717784,208.56786464125864,210.91599115134255,228.021723726628,205.42660588442567,218.44454425585639,209.90752569795023,237.676393761709,218.36345911949684,221.87354879840345,300.7377508552687,212.00256146767688,213.0780918367347,227.98622870803862,274.3466725189961,224.3891726581223,256.98400630396054,241.48608330185115,213.47524741308823,223.95259406214677,206.56723380987944,216.81536753357446,227.9612947436311,212.87157244797675
Austria,2022-03-01,143.01551167162776,172.92123728085733,163.11531478964292,164.78838723701574,143.086013185411,150.65563823688117,182.52600827371063,166.07342667928097,153.1422635958113,169.38703750901254,160.95189621743575,172.58202856496834,157.9937903923503,161.4173916328814,169.99397529094568,173.3897128435386,166.80682613273552,155.58293367010035,155.9624520289399,159.3708631751716,158.67875931232092,174.7568509802746,166.50893535733553,179.41798099721657,150.73450181474323,171.34623199162368,173.74793979329957,155.4267815221507,172.12659808759165,147.165368181698
Austria,2022-04-01,102.87191333578302,107.0915103950358,103.16241214217678,105.03172752622494,105.5648971879937,89.8562233806855,108.67624586299964,84.89946394222045,110.90222378028751,105.65897001550272,106.93244329139499,106.76694402192359,107.3819858941934,96.73492831255271,108.83213745774086,110.68713387569468,108.95306055708959,100.28981216683293,116.40340464623048,104.08567002761275,105.1971577871708,99.56187601066144,102.8835687472398,103.46628331273178,99.02310751464886,100.3486276964471,105.12627232443987,102.54056018931193,90.23110998251161,97.83327036193369
Austria,2022-05-01,100.27261253064664,96.93945833333333,83.72291206150891,95.25583531282327,97.34855859395742,101.00400756818506,102.09557946412728,99.6568363811448,95.10409251270158,97.79298620901662,91.80143359127115,95.30427429012943,94.73496379231739,97.8247430073875,99.95665933259993,92.71258176561334,85.34685893456509,92.68956387049748,96.49887585781555,92.09864734299518,107.2078329242681,90.42694263298353,95.25671057867937,99.93188479697828,98.02457257865585,91.42463204120247,91.85690251981651,102.19945173771268,91.12827922022059,99.0792927535038
Austria,2022-06-01,107.61645258335801,94.56687782805429,104.10498917620704,100.6595020282557,89.95656939531312,105.5768623853211,99.07678375656148,100.81186807282229,101.32282507076079,101.31627877689894,96.30227575379784,100.53330148127857,96.48828184408335,101.4517564837264,96.0833133202562,101.93458696737437,101.96759881509868,102.15689188657339,101.18926556338617,94.87343793741816,98.62497098999991,101.1244275691666,98.98598940129818,95.9834359702425,103.31527565145761,99.11275402858011,104.13201349308957,93.83551266346632,100.64958655515228,97.5158145025564
Austria,2022-07-01,92.90077565836441,100.5160028804196,104.03757920971809,92.56358883896498,107.63686126354686,105.55672900101744,96.6284961125277,106.99209590758998,99.42096332184734,105.03124520688307,105.69879513352342,103.41374135268357,102.34414851947314,106.54098015523958,103.82552159524462,103.88779729191985,108.18187010504519,92.18169802454929,99.15407065478414,97.48656907655153,104.43167579758402,101.27914315448659,98.12484725898358,104.63792316046184,105.0987570977918,95.4178542833601,99.42409246971341,102.75756123665411,107.05897575010275,101.48262260627831
