,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2021-12-01,189.56186277482368,165.92169486450067,173.94255733916336,167.01476727672386,169.50555262062315,197.26230796985138,187.08335527006687,180.7588520360934,190.69285447515364,171.1126009006169,173.0701377068709,183.60219719538117,176.11228613616805,183.7006991481157,176.3464150949559,181.20955685733912,176.4911165819499,197.81535726651455,183.3063442255566,173.02275963069994,171.55424336537024,176.59351834976832,180.72650715988183,166.95297103170634,175.7630855073631,189.6126195981809,176.8609238435886,170.7970338897754,161.05088322354166,176.53194029883943
Austria,2022-01-01,195.75996139426746,335.88497460869075,283.9093556200312,174.56411649027893,181.90995905769245,226.5241271340103,208.01935196175268,376.95364519469797,218.87409027375006,220.20513226840237,246.7619158702378,326.4609964083943,219.42076422528078,338.1005293677497,213.0769122932634,204.22921877114408,275.981904792055,187.23693603275882,176.9855837091697,256.1940931762182,291.7019525554131,237.34835080013062,187.407499309099,312.6504147174593,210.84133448181458,209.811251855724,298.77462751274277,326.1221859814117,178.0052117017697,236.33385749558315
Austria,2022-02-01,163.96114328624344,333.59996269919844,214.4263691627494,226.46400270030176,229.39695984536542,179.87668214296937,244.96855074794917,189.39742513798097,191.74727617271574,219.0233002197292,183.32527956102325,201.47229698371004,181.36730909591017,239.87300754704603,208.04713695913193,231.34263895953882,255.09846139339163,202.2508350788253,200.07822647988695,221.44329440961926,250.5266987654321,210.03348463462643,314.03274965018016,238.33662435714547,208.4447212002289,217.88421701450133,196.33050631763317,193.5376299309222,246.34392919154942,210.8134885928341
Austria,2022-03-01,138.55959805924135,169.20218650290963,150.49502463094493,167.3409319793915,131.4322467651159,138.80663575712623,185.50934967469786,148.43066472108742,150.95904623016412,170.66256262283744,147.2839155396779,168.16433007151605,161.17850069601067,166.30618264461984,180.87267468779356,174.3757391425584,176.18150692183488,162.86411194117375,137.76762189803577,163.6657743446108,150.12343862279562,174.1106252676789,155.75378523919653,182.01406360914388,147.06337758291568,160.60760484724472,187.80476931237072,166.41374053602786,167.27262926908108,132.5602233874823
Austria,2022-04-01,110.89246406687961,112.87842114455796,107.55528981175296,114.23164881095158,115.70175653369348,97.1173960055315,120.49387020890136,102.09403159836324,118.56713493822735,115.42426064093054,123.38255850625805,114.76192980587135,115.14415180952037,110.57054555008366,119.33642071957378,116.08386401303946,119.10213732806746,110.97838392378914,121.42816982127044,112.30353538065633,120.09265469845809,110.53806220782718,107.51933786594762,119.64833677811772,98.13553293530036,107.67058378662568,117.19676894839776,121.90785814633534,105.78022448300415,110.25584705397921
Austria,2022-05-01,102.84778720476433,103.55697907895302,99.84399895785819,97.7476465709262,106.45629331767404,103.94401653021671,101.581669067676,100.45302567415276,100.16324826082877,103.46954758989393,93.4792115929854,95.72539402173912,95.35806355065007,97.15948406873159,105.68851202820954,103.09309136648727,90.35982860421417,93.434261543974,106.06345449463575,91.72866099390853,108.76720121418398,95.7515224426162,99.15080280952395,106.2632559679362,101.06266170733619,99.73521000339481,103.26860880460247,106.52981860160351,100.83706247817408,99.04426551491979
Austria,2022-06-01,106.61433346430228,100.10696346321673,102.66543992845965,100.43340481003234,90.1406472045393,102.74737393667453,104.49649945520295,102.41580240443045,102.04099253328417,100.11945128699395,98.29408154365908,97.90738024774173,96.27603087439402,96.8954419409478,96.14211466348101,103.94878064524386,107.46892196201162,96.92751988090214,102.84178681023042,96.33845118805729,105.88756849005695,101.12852136576257,96.70250118175493,96.44097025647895,107.31973104553671,102.69898603418551,105.01569529695765,95.22306613671873,102.04394561467494,101.17799792021006
Austria,2022-07-01,92.3250564830177,106.32841087690538,104.6323832578799,96.67955593168743,110.55803137212641,108.8859017857596,92.39162204264008,110.89233095013255,100.64286258984635,107.93665521542704,104.3963015005056,106.8130828644168,101.90360507837457,109.58374116293398,104.37760904472924,105.0156894237391,111.5040120764148,92.32655140945641,101.67820612473653,101.56583539720319,106.37455465396738,98.29329593680781,96.75457597084356,106.48964419056234,105.4800730948647,97.94652637177943,98.04716840539292,104.06469149245194,111.79012677813226,105.35945126921
